(Sample number108)  iteration number: 512, Error = 0.00256535
(Sample number109)  iteration number: 512, Error = 0.00379442
(Sample number110)  iteration number: 512, Error = 0.00560849
(Sample number111)  iteration number: 512, Error = 0.0245842
(Sample number112)  iteration number: 512, Error = 0.00405065
(Sample number113)  iteration number: 512, Error = 0.00278859
(Sample number114)  iteration number: 512, Error = 0.00221622
(Sample number115)  iteration number: 512, Error = 0.00253821
(Sample number116)  iteration number: 512, Error = 0.00345574
(Sample number117)  iteration number: 512, Error = 0.00460446
(Sample number118)  iteration number: 512, Error = 0.00329091
(Sample number119)  iteration number: 512, Error = 0.00304478
(Sample number120)  iteration number: 512, Error = 0.00134528
(Sample number121)  iteration number: 512, Error = 0.0034185
(Sample number122)  iteration number: 512, Error = 0.00162549
(Sample number123)  iteration number: 512, Error = 0.00372383
(Sample number124)  iteration number: 512, Error = 0.00322428
(Sample number125)  iteration number: 512, Error = 0.00198571
(Sample number126)  iteration number: 512, Error = 0.00308517
(Sample number127)  iteration number: 512, Error = 0.00280312
(Sample number128)  iteration number: 512, Error = 0.00312651
(Sample number129)  iteration number: 512, Error = 0.00338679
(Sample number130)  iteration number: 512, Error = 0.00236375
(Sample number131)  iteration number: 512, Error = 0.0034804
(Sample number132)  iteration number: 512, Error = 0.00326735
(Sample number133)  iteration number: 512, Error = 0.00914496
(Sample number134)  iteration number: 512, Error = 0.00427383
(Sample number135)  iteration number: 512, Error = 0.502943
(Sample number136)  iteration number: 512, Error = 0.00300541
(Sample number137)  iteration number: 512, Error = 0.00182483
(Sample number138)  iteration number: 512, Error = 0.00387222
(Sample number139)  iteration number: 512, Error = 0.469872
(Sample number140)  iteration number: 512, Error = 0.00338237
(Sample number141)  iteration number: 512, Error = 0.00666688
(Sample number142)  iteration number: 512, Error = 0.00228778
(Sample number143)  iteration number: 512, Error = 0.00246165
(Sample number144)  iteration number: 512, Error = 0.00369754
(Sample number145)  iteration number: 512, Error = 0.00409847
(Sample number146)  iteration number: 512, Error = 0.00365461
(Sample number147)  iteration number: 512, Error = 0.00223274
(Sample number148)  iteration number: 512, Error = 0.00284392
(Sample number149)  iteration number: 512, Error = 0.00563521
(Sample number150)  iteration number: 512, Error = 0.00245948
(Sample number151)  iteration number: 512, Error = 0.00250437
(Sample number152)  iteration number: 512, Error = 0.0020381
(Sample number153)  iteration number: 512, Error = 0.003712
(Sample number154)  iteration number: 512, Error = 0.00395113
(Sample number155)  iteration number: 512, Error = 0.00300339
(Sample number156)  iteration number: 512, Error = 0.00193605
(Sample number157)  iteration number: 512, Error = 0.00161207
(Sample number158)  iteration number: 512, Error = 0.001905
(Sample number159)  iteration number: 512, Error = 0.00459693
(Sample number160)  iteration number: 512, Error = 0.00396082
(Sample number161)  iteration number: 512, Error = 0.00458732
(Sample number162)  iteration number: 512, Error = 0.00300446
